iter	Passed	Remaining
589	6063	4213
590	6074	4203
591	6084	4193
592	6092	4181
593	6103	4171
594	6110	4159
595	6121	4149
596	6129	4137
597	6140	4127
598	6152	4119
599	6161	4107
600	6172	4097
601	6180	4085
602	6188	4074
603	6201	4065
604	6210	4054
605	6225	4047
606	6238	4038
607	6252	4031
608	6265	4022
609	6274	4011
610	6287	4002
611	6298	3992
612	6305	3980
613	6316	3970
614	6323	3958
615	6333	3948
616	6341	3936
617	6354	3927
618	6363	3916
619	6370	3904
620	6379	3893
621	6386	3881
622	6397	3871
623	6404	3859
624	6414	3848
625	6421	3836
626	6430	3825
627	6437	3813
628	6450	3804
629	6458	3793
630	6467	3781
631	6474	3769
632	6483	3758
633	6491	3747
634	6500	3736
635	6507	3724
636	6517	3714
637	6528	3704
638	6536	3692
639	6547	3683
640	6558	3673
641	6567	3662
642	6579	3653
643	6587	3641
644	6597	3631
645	6605	3619
646	6616	3610
647	6626	3599
648	6634	3588
649	6647	3579
650	6660	3570
651	6680	3565
652	6696	3558
653	6711	3550
654	6719	3539
655	6729	3529
656	6737	3517
657	6748	3507
658	6755	3495
659	6767	3486
660	6777	3476
661	6785	3464
662	6795	3454
663	6802	3442
664	6814	3433
665	6824	3422
666	6832	3411
667	6844	3401
668	6851	3389
669	6862	3379
670	6869	3368
671	6879	3357
672	6886	3346
673	6895	3335
674	6902	3323
675	6912	3313
676	6919	3301
677	6929	3290
678	6936	3279
679	6947	3269
680	6958	3259
681	6966	3248
682	6978	3238
683	6985	3227
684	6994	3216
685	7001	3204
686	7013	3195
687	7021	3184
688	7028	3172
689	7035	3161
690	7045	3150
691	7055	3140
692	7063	3129
693	7075	3119
694	7082	3108
695	7093	3098
696	7100	3086
697	7115	3078
698	7128	3069
699	7143	3061
700	7157	3053
701	7167	3042
702	7178	3032
703	7189	3022
704	7197	3011
705	7207	3001
706	7214	2990
707	7226	2980
708	7234	2969
709	7244	2959
710	7254	2948
711	7262	2937
712	7273	2927
713	7281	2916
714	7292	2906
715	7304	2897
716	7314	2886
717	7323	2876
718	7331	2865
719	7343	2855
720	7354	2845
721	7361	2834
722	7370	2823
723	7377	2812
724	7386	2801
725	7394	2790
726	7403	2780
727	7411	2769
728	7419	2758
729	7427	2747
730	7437	2737
731	7446	2726
732	7455	2715
733	7464	2705
734	7475	2695
735	7485	2685
736	7493	2674
737	7507	2665
738	7515	2654
739	7524	2643
740	7535	2633
741	7543	2623
742	7553	2612
743	7561	2601
744	7574	2592
745	7588	2583
746	7602	2575
747	7619	2566
748	7629	2556
749	7642	2547
750	7653	2537
751	7661	2526
752	7672	2516
753	7680	2505
754	7689	2495
755	7698	2484
756	7706	2473
757	7719	2464
758	7727	2453
759	7739	2443
760	7746	2432
761	7754	2422
762	7762	2411
763	7770	2400
764	7777	2389
765	7786	2378
766	7793	2367
767	7803	2357
768	7811	2346
769	7819	2335
770	7828	2325
771	7836	2314
772	7844	2303
773	7852	2292
774	7861	2282
775	7868	2271
776	7876	2260
777	7884	2249
778	7891	2238
779	7902	2228
780	7910	2218
781	7921	2208
782	7935	2199
783	7945	2189
784	7955	2178
785	7967	2169
786	7974	2158
787	7987	2148
788	7998	2138
789	8011	2129
790	8027	2121
791	8039	2111
792	8054	2102
793	8065	2092
794	8075	2082
795	8083	2071
796	8092	2061
797	8100	2050
798	8109	2040
799	8117	2029
800	8127	2019
801	8136	2008
802	8146	1998
803	8153	1987
804	8162	1977
805	8169	1966
806	8178	1956
807	8186	1945
808	8195	1934
809	8203	1924
810	8212	1913
811	8220	1903
812	8230	1893
813	8238	1882
814	8247	1872
815	8254	1861
816	8263	1850
817	8270	1840
818	8280	1829
819	8287	1819
820	8297	1809
821	8304	1798
822	8313	1787
823	8320	1777
824	8330	1767
825	8337	1756
826	8346	1745
827	8353	1735
828	8362	1724
829	8369	1714
830	8378	1703
831	8385	1693
832	8395	1683
833	8402	1672
834	8411	1662
835	8419	1651
836	8428	1641
837	8437	1631
838	8446	1620
839	8455	1610
840	8463	1600
841	8474	1590
842	8484	1580
843	8500	1571
844	8517	1562
845	8531	1552
846	8540	1542
847	8549	1532
848	8558	1522
849	8565	1511
850	8573	1501
851	8581	1490
852	8590	1480
853	8597	1469
854	8608	1459
855	8618	1449
856	8627	1439
857	8634	1429
858	8646	1419
859	8657	1409
860	8665	1398
861	8674	1388
862	8681	1378
863	8691	1368
864	8698	1357
865	8709	1347
866	8717	1337
867	8727	1327
868	8735	1316
869	8743	1306
870	8750	1296
871	8760	1285
872	8769	1275
873	8777	1265
874	8785	1255
875	8793	1244
876	8801	1234
877	8809	1224
878	8819	1214
879	8826	1203
880	8835	1193
881	8842	1183
882	8852	1172
883	8860	1162
884	8869	1152
885	8876	1142
886	8885	1132
887	8893	1121
888	8902	1111
889	8909	1101
890	8923	1091
891	8935	1081
892	8946	1072
893	8962	1062
894	8973	1052
895	8980	1042
896	8990	1032
897	8997	1021
898	9006	1011
899	9013	1001
900	9023	991
901	9030	981
902	9039	971
903	9047	960
904	9056	950
905	9064	940
906	9073	930
907	9083	920
908	9091	910
909	9101	900
910	9109	889
911	9120	880
912	9128	869
913	9137	859
914	9145	849
915	9156	839
916	9166	829
917	9174	819
918	9184	809
919	9191	799
920	9201	789
921	9209	779
922	9220	769
923	9228	759
924	9238	749
925	9245	738
926	9256	728
927	9265	718
928	9273	708
929	9284	698
930	9291	688
931	9300	678
932	9308	668
933	9321	658
934	9330	648
935	9338	638
936	9349	628
937	9356	618
938	9367	608
939	9374	598
940	9386	588
941	9393	578
942	9402	568
943	9410	558
944	9425	548
945	9440	538
946	9452	528
947	9465	519
948	9474	509
949	9484	499
950	9491	489
951	9501	479
952	9509	468
953	9518	458
954	9525	448
955	9535	438
956	9542	428
957	9551	418
958	9558	408
959	9566	398
960	9574	388
961	9584	378
962	9591	368
963	9602	358
964	9611	348
965	9618	338
966	9630	328
967	9638	318
968	9646	308
969	9653	298
970	9662	288
971	9669	278
972	9679	268
973	9687	258
974	9697	248
975	9704	238
976	9717	228
977	9724	218
978	9733	208
979	9739	198
980	9749	188
981	9756	178
982	9765	168
983	9772	158
984	9782	148
985	9791	139
986	9800	129
987	9809	119
988	9816	109
989	9825	99
990	9832	89
991	9841	79
992	9849	69
993	9858	59
994	9868	49
995	9882	39
996	9896	29
997	9909	19
998	9917	9
999	9927	0
